66,54,887781,33336,4521,5833,5019,22381,3972,2096,0
64,37,2341528,76153,9998,23186,13720,9537,17191,4456,0
60,37,130613,34428,24487,8692,8537,16807,5880,2558,0
47,43,400511,63614,18550,10547,4724,7591,3355,674,0
51,64,12032,7816,26437,5540,5944,8659,3046,4220,0
51,70,28800,10727,8852,3210,1979,1872,700,542,0
50,70,10057,11567,4878,5908,4050,4005,1163,2097,0
56,81,8830,3683,6754,3186,1328,2964,3092,2282,0
57,67,9189,6105,2079,1868,2633,2707,2698,1432,0
60,56,13266,25728,2179,4538,3270,3539,4961,1928,0
57,53,171779,34880,9571,9776,3776,7619,1348,1435,0
50,43,586144,93069,26540,27470,28590,9964,5366,7489,0
43,47,4074,17817,8989,2732,2142,4245,2050,1510,0
50,51,1552,4023,2012,3296,7557,2790,1463,1393,0
54,56,8781,16054,16519,2109,2700,8356,2055,1303,0
61,56,2616,9109,4715,3205,3936,3583,3870,2125,0
47,37,54609,47196,9853,13110,11729,14791,8066,1311,0
60,44,36011,37532,1115,7840,14606,15676,13822,5185,0
64,43,15767,28305,7395,24948,10308,18420,11385,6213,0
77,51,19829,22361,8623,14057,5451,10220,7698,3791,0
69,75,31298,15378,11158,33948,9696,10685,8281,2690,0
63,78,596079,52766,44946,22233,16148,14388,6448,1628,0
60,80,25416,25678,17425,5849,10068,6975,8503,2480,0
70,63,3427,16539,8020,3066,10288,16666,7875,4276,0
80,53,9346,26702,12213,3430,12744,17398,6305,5146,0
70,51,251691,18905,14162,2989,1640,3355,2998,688,0
77,56,8651,11981,3174,27629,12304,11623,6163,6771,0
67,64,809603,18050,6677,12019,10082,7961,19542,6923,0
67,78,17189,28542,29741,32091,17063,13500,12591,3233,0
74,75,12987,8585,3005,11508,2294,12719,7116,3709,0
57,69,79784,19915,9116,4120,5433,4548,1910,467,0
44,40,215780,13541,5422,679,2840,1367,1445,592,0
50,47,15358,10022,8640,13593,7536,7617,3638,3227,0
48,61,10412,16325,11276,9436,6254,9595,5889,3841,0
63,61,4432,7751,10891,2820,8315,12833,6051,1449,0
84,57,5882,7781,473,4912,3171,11182,5568,2290,0
91,53,4507,9035,4078,8207,4746,11487,8018,1483,0
91,61,8338,3292,1521,28090,6365,9691,10643,1498,0
78,60,9309,18443,1989,9271,6053,3163,3009,2317,0
63,61,11032,19103,3829,6385,11235,3981,4256,2070,0
57,61,2080,14838,3024,10623,6274,8049,4079,2060,0
63,41,15048,13895,1512,2546,5768,9509,7451,2116,0
70,47,4657,2977,5333,6427,14231,6618,3432,2963,0
77,47,4789,4822,4128,1675,1390,6574,5592,2840,0
87,51,8714,2514,3641,6939,5307,3741,12178,4203,0
53,63,30230,39735,7539,26553,12463,3341,6473,2507,0
34,47,127848,37996,16180,10339,5353,1947,2488,1222,0
37,57,155734,41779,18848,21796,9869,14870,3007,6817,0
40,47,1301899,164889,51054,55329,23481,29548,23191,8586,0
61,47,1765,5074,8938,11836,22116,13125,9983,5858,0
74,44,2947,9101,4092,10505,8789,14515,8757,2831,0
74,54,6800,45104,16184,9490,10891,15029,8100,3910,0
83,56,4753,11085,6440,7446,4989,9819,8005,4780,0
83,51,7586,19487,3407,16619,19440,18120,7263,2815,0
81,48,194547,40286,5475,22764,11268,33521,16927,3818,0
80,53,54832,38080,20881,25347,31091,16310,14949,6015,0
75,57,29956,23435,30693,30196,19546,17802,32376,8337,0
70,63,41498,29600,29559,3816,8607,21615,8305,3863,0
74,66,8367,13965,2782,19478,21833,20540,4664,8381,0
70,64,1180,11239,14408,10304,22278,10055,14910,3820,0
43,41,198977,154994,25290,67650,41196,19079,12607,6818,0
23,29,56775,50990,11659,5684,4146,2244,1790,1204,0
29,37,315377,295814,25384,45959,17292,42333,13832,11677,0
27,38,74163,31725,29566,9958,35903,4669,9776,3320,0
38,47,4624,13112,20513,12525,15681,17403,7565,4056,0
53,54,12068,15580,19830,7631,19208,7812,13029,2648,0
51,64,127223,78220,31931,38550,36784,16019,10953,5360,0
64,70,4487,6707,16272,8548,7072,9339,6055,6219,0
56,67,19329,14441,15416,4384,12069,5088,6225,3727,0
57,74,3315,4412,5080,10860,4851,5424,5900,3454,0
64,74,282617,52694,10157,37908,20265,22041,7888,5934,0
80,56,94413,52660,31269,31653,94591,81902,7029,4309,0
81,48,19659,21335,8809,12969,12298,14407,3526,4449,0
93,48,53029,5172,3962,13494,9751,22514,7902,2221,0
87,53,26733,18817,18646,10715,11607,7684,9940,3849,0
77,48,581628,104712,5174,27365,33060,27826,19397,4032,0
38,35,1981088,443777,69747,20801,20762,19923,10578,7416,0
87,38,3841,7938,3602,2753,6619,9421,3965,3270,0
90,30,8768,22904,3595,10644,8086,18967,6891,6124,0
